"type","value","source"
"domain","xn--gogle-vta.net","Mandiant"
"domain","sso-crypto.com","Mandiant"
"domain","sso-apple.com","Mandiant"
"domain","reset-binance.us","Mandiant"
"domain","help-safeguard.com","Mandiant"
"domain","help-gsuite.com","Mandiant"
"domain","gverify.net","Mandiant"
"domain","gverify.co","Mandiant"
"domain","g-verify.net","Mandiant"
"domain","g-verify.com","Mandiant"
"domain","furydemo.com","Mandiant"
"domain","delays-kraken.com","Mandiant"
"domain","coiniist.co","Mandiant"
"domain","assistance-kraken.com","Mandiant"
"domain","93021-coinbase.com","Mandiant"
"domain","818373-kraken.com","Mandiant"
"domain","273829-coinbase.com","Mandiant"
"domain","2423201-x.com","Mandiant"
"domain","177261-binance.com","Mandiant"
"domain","klaviyo.it.com","Mandiant"
"domain","174912-coinbase.com","Mandiant"
"url","https://imgurl.ir/download.php?file=q68235_labodtarinog.txt","Mandiant"
"hash_md5","f69ae6c871575af4b262145b8da36418","Mandiant"
"hash_md5","df18f3db862fc6a43340155950830e9e","Mandiant"
"hash_md5","c3726a7d98508c3e945ea57a26bbd19f","Mandiant"
"hash_md5","719b944612d6afc1c6978ed943483bf4","Mandiant"
"ip","45.130.214.237","Mandiant"
"hash_md5","069746ac2e2220b75700004cc1f14fae","Mandiant"
"url","http://87.249.50.64/Php05default/localGeowordpress/track/eternalWindows4Image/Linux/Proton/Flowerto4Js/windowsTrack/Trafficsecure94/41/LowLinux/Serverserver81/phpauthdump/HttpprocessCdn/74geoPoll/pythonbaseGeneratorlocal.php","Mandiant"
"url","http://83.147.253.138/hostdata.txt","Mandiant"
"url","http://62.60.235.190/mariadb9Php/videogameApiserver.php","Mandiant"
"url","http://45.130.214.237/cdn/7Temp/updateexternalprotonAsync/multiImagepythoncdn/Sqlwp/ProtectTo/AsyncTempjavascript/Image4/Base7trafficCentral/2LinuxJavascriptProcessor/trafficwordpressLine/defaultwp7/Multi/VmrequestPacketSqlPublicdownloads.php","Mandiant"
"url","http://217.25.91.61/Wp9local/JavascriptlongpollproviderTemporary/91pipeexternal/Bigloadpoll9/Pythondump/Image/dbCpu/cpugame/ExternalDlewp/sqlflowerprivateUploads.php","Mandiant"
"hash_md5","f8e866aa849b906a7ff73e1e3ee7b4d3","Mandiant"
"hash_md5","e872ce06a8c3937430a8a4e929bea297","Mandiant"
"hash_md5","9eece23aae381f57af03129e07ed9397","Mandiant"
"hash_md5","951e3234392b95e36796a532cbe8d2be","Mandiant"
"ip","87.249.50.64","Mandiant"
"ip","83.147.253.138","Mandiant"
"ip","62.60.235.190","Mandiant"
"hash_md5","5af915f13e2bff2a8f9f4e4d4834dad2","Mandiant"
"ip","217.25.91.61","Mandiant"
"hash_md5","b4b2adf7473488abd01422cfc1f93f4f","Mandiant"
"hash_md5","315026b7efa87dbdc8bdea5f6e455e53","Mandiant"
"hash_md5","30919bec432e51e272a96c418beb5a6e","Mandiant"
"hash_md5","2a2e8c8b4a92429b4d9ae8b6bbd53f53","Mandiant"
"hash_md5","17d4fe6d51d7500ac721aa0ff95f06d2","Mandiant"
"hash_md5","242774efc428275bc5557c153eaeb687","Mandiant"
"hash_md5","0a38bdc3773fb48a3a9a6b8a163043d5","Mandiant"
"domain","blog.sekoia.io","Mandiant"
"domain","ads.green-pickle-jo.shop","Mandiant"
"domain","yob.yrwebsdf.shop","Mandiant"
"domain","nbhg-v.iuksdfb-f.shop","Mandiant"
"domain","recaptcha-manual.shop","Mandiant"
"domain","you-insk-bad.pages.dev","Mandiant"
"domain","discover-travel-agency.pro","Mandiant"
"domain","sandbox.yunqof.shop","Mandiant"
"domain","recaptcha-verify-4h.pro","Mandiant"
"domain","human-verify.shop","Mandiant"
"url","https://you-insk-bad.pages.dev/","Mandiant"
"domain","travel.image-gene-saver.it.com","Mandiant"
"domain","recaptcha-verify-7z.pages.dev","Mandiant"
"domain","macos-browser-update-5i.pages.dev","Mandiant"
"domain","human-verify-7u.pages.dev","Mandiant"
"domain","human-verify-4r.pro","Mandiant"
"url","https://tour-agency-media.pages.dev/","Mandiant"
"url","https://sdfwefwg.pages.dev/","Mandiant"
"domain","domain.com","Mandiant"
"domain","dns-verify-me.pro","Mandiant"
"domain","tumbl.design-x.xyz","Mandiant"
"domain","tour-agency-media.pages.dev","Mandiant"
"domain","start.cleaning-room-device.shop","Mandiant"
"domain","sha-11x.pages.dev","Mandiant"
"domain","sdfwefwg.pages.dev","Mandiant"
"domain","recaptcha-verify-me-1c.pages.dev","Mandiant"
"domain","microsoft-dns-reload-1r.pages.dev","Mandiant"
"url","https://tumbl.design-x.xyz/glass.mp3","Mandiant"
"url","https://recaptcha-verify-1t.pages.dev/","Mandiant"
"url","https://human-verify-4r.pro/xfiles/human.cpp","Mandiant"
"ip","83.217.208.130","Mandiant"
"ip","80.64.30.238","Mandiant"
"domain","recaptha-verify-5q.pages.dev","Mandiant"
"domain","recaptcha-verify-9m.pages.dev","Mandiant"
"domain","recaptcha-verify-2e.pages.dev","Mandiant"
"domain","recaptcha-verify-1t.pages.dev","Mandiant"
"domain","note1.nz7bn.pro","Mandiant"
"domain","niopg.pages.dev","Mandiant"
"domain","mnjk-jk.bsdfg-zmp-q-n.shop","Mandiant"
"domain","microsoft-dns-reload-5q.pages.dev","Mandiant"
"domain","macos-browser-update-9n.pages.dev","Mandiant"
"domain","hur.bweqlkjr.shop","Mandiant"
"url","https://yob.yrwebsdf.shop/3t.mp4","Mandiant"
"url","https://yob.yrwebsdf.shop/1a.m4a","Mandiant"
"url","https://travel.image-gene-saver.it.com/1.m4a","Mandiant"
"url","https://start.cleaning-room-device.shop/sha589.m4a","Mandiant"
"url","https://sandbox.yunqof.shop/macan.mp3","Mandiant"
"url","https://recaptha-verify-5q.pages.dev/","Mandiant"
"url","https://recaptcha-verify-me-1c.pages.dev/","Mandiant"
"url","https://recaptcha-verify-7z.pages.dev/","Mandiant"
"url","https://recaptcha-verify-4h.pro/xfiles/verify.mp4","Mandiant"
"url","https://nbhg-v.iuksdfb-f.shop/ajax.mp3","Mandiant"
"url","https://mnjk-jk.bsdfg-zmp-q-n.shop/1.mp4","Mandiant"
"url","https://recaptcha-verify-4h.pro/xfiles/kangarooing.vsdx","Mandiant"
"url","https://recaptcha-verify-4h.pro/kangarooing.m4a","Mandiant"
"url","https://recaptcha-verify-2e.pages.dev/","Mandiant"
"url","https://recaptcha-manual.shop/kangarooing.m4a","Mandiant"
"url","https://raw.githubusercontent.com/fuad686337/tyu/refs/heads/main/BEGIMOT.xll","Mandiant"
"url","https://note1.nz7bn.pro/nnp.mp4","Mandiant"
"url","https://niopg.pages.dev/","Mandiant"
"url","https://hur.bweqlkjr.shop/1a.m4a","Mandiant"
"url","https://human-verify-4r.pro/xfiles/verify.mp4","Mandiant"
"url","https://gdfg-23rwe.pages.dev/index.html","Mandiant"
"url","https://fresh-orange-juice.pages.dev/","Mandiant"
"url","https://microsoft-dns-reload-5q.pages.dev","Mandiant"
"url","https://macos-browser-update-9n.pages.dev/","Mandiant"
"url","https://macos-browser-update-5i.pages.dev/","Mandiant"
"url","https://hur.bweqlkjr.shop/m41.mp4","Mandiant"
"url","https://human-verify.shop/xfiles/verify.mp4","Mandiant"
"url","https://human-verify-7u.pages.dev/","Mandiant"
"url","https://hostme.pages.dev/host","Mandiant"
"url","https://ghost-name.pages.dev/website","Mandiant"
"url","https://discover-travel-agency.pro/walking.mp3","Mandiant"
"url","http://80.64.30.238/trip.psd","Mandiant"
"url","https://f003.backblazeb2.com/file/skippp/uu.html","Mandiant"
"url","https://f003.backblazeb2.com/file/skippp/index.html","Mandiant"
"url","https://f003.backblazeb2.com/file/skippp/glass.mp3","Mandiant"
"url","https://ert67-o9.pages.dev/data","Mandiant"
"url","https://domain.com/BEGIMOT.xll","Mandiant"
"url","https://discover-travel-agency.pro/joke.m4a","Mandiant"
"url","https://dns-verify-me.pro/xfiles/train.mp4","Mandiant"
"domain","1a-a1.pages.dev","Mandiant"
"url","https://discover-travel-agency.pro/1.m4a","Mandiant"
"url","https://disable-data-collect-ai.pages.dev/","Mandiant"
"url","https://disable-data-ai-agent.pages.dev","Mandiant"
"url","https://cleaning-devices-k.pages.dev/","Mandiant"
"url","https://ai.fdswgw.shop/one.mp4","Mandiant"
"url","https://blog.sekoia.io/clearfakes-new-widespread-variant-increased-web3-exploitation-for-malware-delivery/","Mandiant"
"url","https://b1-c1-k8.pages.dev/","Mandiant"
"url","https://ads.green-pickle-jo.shop/1.m4a","Mandiant"
"url","https://1a-a1.pages.dev/","Mandiant"
"url","http://83.217.208.130/xfiles/trip.psd","Mandiant"
"url","http://83.217.208.130/xfiles/VIDA.mp4","Mandiant"
"url","http://83.217.208.130/xfiles/VIDA.mp3","Mandiant"
"url","http://83.217.208.130/xfiles/trip.mp4","Mandiant"
"url","http://83.217.208.130/xfiles/Ohio.mp4","Mandiant"
"url","http://80.64.30.238/evix.xll","Mandiant"
"domain","hostme.pages.dev","Mandiant"
"domain","b1-c1-k8.pages.dev","Mandiant"
"domain","ghost-name.pages.dev","Mandiant"
"domain","gdfg-23rwe.pages.dev","Mandiant"
"domain","fresh-orange-juice.pages.dev","Mandiant"
"domain","ert67-o9.pages.dev","Mandiant"
"domain","disable-data-collect-ai.pages.dev","Mandiant"
"domain","ai.fdswgw.shop","Mandiant"
"domain","disable-data-ai-agent.pages.dev","Mandiant"
"domain","cleaning-devices-k.pages.dev","Mandiant"
"url","tcp://floor-steam.gl.at.ply.gg:3455","Mandiant"
"domain","industrial-vegetation.gl.at.ply.gg","Mandiant"
"domain","hartplus.autos","Mandiant"
"url","tcp://industrial-vegetation.gl.at.ply.gg:59863","Mandiant"
"url","tcp://floor-steam.gl.at.ply.gg:58684","Mandiant"
"domain","say-mechanical.gl.at.ply.gg","Mandiant"
"domain","floor-steam.gl.at.ply.gg","Mandiant"
"url","tcp://say-mechanical.gl.at.ply.gg:41947","Mandiant"
"url","http://hartplus.autos/my18/","Mandiant"
"url","tcp://hartplus.autos:80","Mandiant"
